sweep,trial,state,epochs,n_params,best_val_avg_jet_acc,best_epoch,min_val_loss,best_jet_acc_1of1,best_jet_acc_2of2,best_jet_acc_3of3,best_event_purity,best_particle_acc,hidden_dim,learning_rate,dropout,batch_size,num_embedding_layers
vanilla,g2vc1w2g,finished,50,21203446,0.4124,17,7.8883,0.378,0.1694,0.0761,0.388,0.8494,128,0.00047266821392678415,0.2397877826065509,2048,6
vanilla,6dd6mvpv,finished,50,84480502,0.4064,15,8.0335,0.37,0.165,0.0766,0.3764,0.8501,256,0.00030268666130627226,0.2643174837770652,2048,14
vanilla,wclzbk8u,finished,50,21203446,0.394,20,7.611,0.3618,0.1638,0.0778,0.3615,0.8519,128,0.0004490769426577584,0.24857038731466477,2048,6
vanilla,w6podt1t,crashed,15,21203446,0.3907,13,8.6209,0.3527,0.1583,0.0768,0.3506,0.8489,128,0.0005820227119208908,0.27266866430165615,2048,6
vanilla,1d6qz63u,crashed,15,21203446,0.3878,8,8.2265,0.3471,0.1592,0.0761,0.3406,0.8531,128,0.000434999776036891,0.23244339818615536,2048,6
vanilla,ickk4hl3,crashed,45,84480502,0.3872,14,7.8819,0.3518,0.1547,0.078,0.3499,0.8547,256,0.0006918484518852536,0.1398185687940936,2048,10
vanilla,6ljjlx35,crashed,15,84480502,0.3843,7,8.0634,0.3449,0.1572,0.0754,0.3544,0.8518,256,0.00048247339625462246,0.23316927734185028,2048,6
vanilla,1ussyakc,crashed,15,84480502,0.3599,4,8.3014,0.3161,0.1424,0.0718,0.2963,0.8499,256,0.00027406640964131203,0.13015882487632813,2048,10
vanilla,ce5ymtjx,crashed,15,5342710,0.3589,7,7.8149,0.3111,0.1529,0.0811,0.2908,0.8517,64,0.0008480607180868549,0.15491252026086438,1024,14
blocks,gs8pex8v,finished,50,5343382,0.4293,24,7.2545,0.3992,0.1802,0.0825,0.4114,0.8582,64,0.0007344299982717679,0.2978723651141102,512,10
blocks,e19osz6f,finished,50,21204118,0.4231,25,7.3346,0.3896,0.1794,0.0837,0.4037,0.8608,128,0.0003626107505628052,0.2978502862479677,512,6
blocks,sqjfkudn,finished,50,21204118,0.4209,15,7.3848,0.3894,0.1821,0.0843,0.3991,0.8593,128,0.0003867440828930484,0.2454515387651757,512,10
blocks,59ynqfj2,crashed,45,84481174,0.4073,8,7.6032,0.3711,0.1724,0.0817,0.3747,0.8563,256,0.00014023958336608142,0.29111441120817494,512,14
blocks,nucmi0u1,finished,50,21204118,0.4054,19,7.3928,0.3676,0.1725,0.0822,0.3789,0.8598,128,0.0006144894218768826,0.2595133647642579,2048,6
blocks,amvz3ch1,crashed,15,21204118,0.4038,11,7.838,0.3668,0.1689,0.0802,0.3715,0.8535,128,0.00021284925886345515,0.20021280877836,1024,10
blocks,iflm6fht,finished,50,84481174,0.4014,14,7.6434,0.3691,0.1632,0.0773,0.3712,0.8509,256,0.00011712902303919398,0.26251405799488203,2048,6
blocks,33r5r2wd,crashed,15,5343382,0.4005,11,8.8372,0.365,0.1569,0.0732,0.3605,0.852,64,0.00016045023811285788,0.13805027573582035,2048,14
blocks,g4zoxlct,finished,50,5343382,0.4005,14,7.3403,0.3613,0.1662,0.084,0.3613,0.8577,64,0.000953459377113492,0.11962605750158786,1024,14
blocks,n2m3adwr,crashed,15,21204118,0.3934,10,8.2263,0.3572,0.1608,0.0782,0.3562,0.8537,128,0.0001787803981085858,0.15537113659220475,2048,10
blocks,hvep36x3,crashed,15,21204118,0.3933,9,7.5089,0.3507,0.1713,0.0847,0.353,0.8583,128,0.00029935501084474346,0.28754425120371396,512,6
blocks,urevv0fv,crashed,45,21204118,0.3843,14,7.3603,0.3404,0.168,0.0825,0.333,0.8605,128,0.0006688447873524265,0.22310330224624103,512,14
blocks,byeva76u,crashed,15,5343382,0.3805,12,8.6771,0.3391,0.1582,0.0729,0.3313,0.8537,64,0.00011212701630929652,0.22872469857419828,1024,10
blocks,pg1oteh2,finished,50,84481174,0.3797,12,7.4874,0.3346,0.1719,0.0841,0.3227,0.8603,256,0.0001818236605881285,0.2643343825707667,1024,10
blocks,dbe8bqmr,finished,50,84481174,0.377,6,7.4557,0.334,0.1718,0.0801,0.3285,0.8539,256,0.0001262823606148832,0.14338894663829643,512,10
blocks,sxwt6rms,crashed,15,5343382,0.3688,12,8.7805,0.3223,0.1554,0.0753,0.309,0.8578,64,0.00010175742803218096,0.23696665082470517,1024,6
blocks,afjbmku5,crashed,15,84481174,0.3657,14,8.6029,0.3236,0.1503,0.0746,0.3244,0.8533,256,0.0007859303431537349,0.1698716530937768,512,6
blocks,ctufruib,crashed,15,5343382,0.361,9,9.4217,0.3172,0.1389,0.0674,0.2989,0.8498,64,0.000139242590613041,0.16234489156944748,2048,6
blocks,76iqfx3n,crashed,15,5343382,0.3606,12,8.1802,0.313,0.1644,0.0808,0.2978,0.8536,64,0.00014250918625230842,0.11598427564708046,512,6
blocks,niy1tnav,crashed,15,21204118,0.3483,10,8.3181,0.2993,0.1545,0.0804,0.2868,0.8522,128,0.00010265368914314714,0.18506091949781375,512,10
